"Journal" "Ais" "Ford" "Quantile" "Quantile 2017"
"WOMEN & THERAPY" 0.133 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.931 0.93
"DREAMING" 0.124 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.933 0.928
"REVISTA DE PSICOLOGIA DEL DEPORTE" 0.123 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.935 0.916
"PSYCHOLOGIE FRANCAISE" 0.115 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.936 0.923
"REVISTA MEXICANA DE PSICOLOGIA" 0.1 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.938 0.939
"GEDRAG & ORGANISATIE" 0.097 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.94 0.946
"JOURNAL OF PSYCHOLOGY IN AFRICA" 0.091 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.941 0.937
"ZEITSCHRIFT FUR SPORTPSYCHOLOGIE" 0.084 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.943 0.926
"GERIATRIE ET PSYCHOLOGIE NEUROPSYCHIATRIE DE VIEILLISSEMENT" 0.082 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.944 0.941
"TRAVAIL HUMAIN" 0.081 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.946 0.95
"TRAVAIL HUMAIN" 0.081 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.948 0.95
"ZEITSCHRIFT FUR NEUROPSYCHOLOGIE" 0.08 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.949 0.932
"UNIVERSITAS PSYCHOLOGICA" 0.073 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.951 0.944
"ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE" 0.072 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.953 0.934
"PRAXIS DER KINDERPSYCHOLOGIE UND KINDERPSYCHIATRIE" 0.068 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.954 0.948
"REVISTA ARGENTINA DE CLINICA PSICOLOGICA" 0.058 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.956 0.957
"PRATIQUES PSYCHOLOGIQUES" 0.057 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.958 0.955
"PRATIQUES PSYCHOLOGIQUES" 0.057 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.959 0.955
"CESKOSLOVENSKA PSYCHOLOGIE" 0.035 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.961 0.964
"ANNALES MEDICO-PSYCHOLOGIQUES" 0.035 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.962 0.961
"PSIKHOLOGICHESKII ZHURNAL" 0.028 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.964 0.959
"TURK PSIKOLOJI DERGISI" 0.028 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.966 0.962
"VOPROSY PSIKHOLOGII" 0.016 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.967 0.968
"CURRENT OPINION IN BEHAVIORAL SCIENCES" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.969 NA
"CURRENT OPINION IN BEHAVIORAL SCIENCES" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.971 NA
"FRONTIERS IN INTEGRATIVE NEUROSCIENCE" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.972 NA
"PSYCHOSOCIAL INTERVENTION" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.974 0.995
"JOURNAL OF SCHOOL VIOLENCE" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.975 0.982
"PSYCHOLOGY RESEARCH AND BEHAVIOR MANAGEMENT" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.977 0.993
"PSICOLOGIA EDUCATIVA" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.979 NA
"REVIEW JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.98 0.998
"PSYCHOLOGY & SEXUALITY" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.982 0.991
"JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY-REVISTA DE PSICOLOGIA DEL TRABAJO Y DE LAS ORGANIZACIONES" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.984 0.984
"BIOPSYCHOSOCIAL MEDICINE" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.985 0.969
"LANGUAGE LEARNING AND DEVELOPMENT" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.987 NA
"CYBERPSYCHOLOGY-JOURNAL OF PSYCHOSOCIAL RESEARCH ON CYBERSPACE" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.989 0.973
"LANGUAGE AND COGNITION" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.99 0.986
"PSYCH JOURNAL" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.992 0.987
"EARLY CHILD DEVELOPMENT AND CARE" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.993 0.975
"JOURNAL OF CLINICAL SPORT PSYCHOLOGY" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.995 0.978
"INTERNATIONAL JOURNAL OF PSYCHOLOGICAL RESEARCH" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.997 NA
"CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 0.998 0.971
"ANUARIO DE PSICOLOGIA JURIDICA" 0 "PSYCHOLOGY_AND_COGNITIVE_SCIENCES" 1 NA
"AMERICAN JOURNAL OF POLITICAL SCIENCE" 6.121 "POLITICAL_SCIENCE" 0.004 0.012
"AMERICAN POLITICAL SCIENCE REVIEW" 5.491 "POLITICAL_SCIENCE" 0.008 0.004
"ANNUAL REVIEW OF POLITICAL SCIENCE" 4.632 "POLITICAL_SCIENCE" 0.012 0.016
"POLITICAL ANALYSIS" 3.966 "POLITICAL_SCIENCE" 0.015 0.008
"INTERNATIONAL ORGANIZATION" 3.925 "POLITICAL_SCIENCE" 0.019 0.024
"WORLD POLITICS" 3.66 "POLITICAL_SCIENCE" 0.023 0.028
"QUARTERLY JOURNAL OF POLITICAL SCIENCE" 3.538 "POLITICAL_SCIENCE" 0.027 0.02
"BRITISH JOURNAL OF POLITICAL SCIENCE" 3.503 "POLITICAL_SCIENCE" 0.031 0.032
"JOURNAL OF POLICY ANALYSIS AND MANAGEMENT" 3.048 "POLITICAL_SCIENCE" 0.035 0.04
"JOURNAL OF POLITICS" 2.863 "POLITICAL_SCIENCE" 0.039 0.036
"COMPARATIVE POLITICAL STUDIES" 2.812 "POLITICAL_SCIENCE" 0.042 0.048
"POLITICAL BEHAVIOR" 2.62 "POLITICAL_SCIENCE" 0.046 0.091
"POLITICAL PSYCHOLOGY" 2.396 "POLITICAL_SCIENCE" 0.05 0.103
"INTERNATIONAL SECURITY" 2.392 "POLITICAL_SCIENCE" 0.054 0.044
"PERSPECTIVES ON POLITICS" 2.355 "POLITICAL_SCIENCE" 0.058 0.06
"JOURNAL OF PEACE RESEARCH" 2.294 "POLITICAL_SCIENCE" 0.062 0.063
"JOURNAL OF CONFLICT RESOLUTION" 2.293 "POLITICAL_SCIENCE" 0.066 0.056
"JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY" 2.169 "POLITICAL_SCIENCE" 0.069 0.071
"EUROPEAN JOURNAL OF POLITICAL RESEARCH" 2.127 "POLITICAL_SCIENCE" 0.073 0.052
"GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS" 2.053 "POLITICAL_SCIENCE" 0.077 0.087
"POLITICAL COMMUNICATION" 2.033 "POLITICAL_SCIENCE" 0.081 0.079
"PHILOSOPHY & PUBLIC AFFAIRS" 1.933 "POLITICAL_SCIENCE" 0.085 0.115
"INTERNATIONAL STUDIES QUARTERLY" 1.86 "POLITICAL_SCIENCE" 0.089 0.095
"REVIEW OF INTERNATIONAL ORGANIZATIONS" 1.859 "POLITICAL_SCIENCE" 0.093 0.075
"EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS" 1.763 "POLITICAL_SCIENCE" 0.097 0.099
"PUBLIC OPINION QUARTERLY" 1.751 "POLITICAL_SCIENCE" 0.1 0.067
"SOCIO-ECONOMIC REVIEW" 1.736 "POLITICAL_SCIENCE" 0.104 0.083
"PUBLIC ADMINISTRATION REVIEW" 1.694 "POLITICAL_SCIENCE" 0.108 0.119
"WEST EUROPEAN POLITICS" 1.611 "POLITICAL_SCIENCE" 0.112 0.111
"CONFLICT MANAGEMENT AND PEACE SCIENCE" 1.58 "POLITICAL_SCIENCE" 0.116 0.151
"POLITICS & SOCIETY" 1.567 "POLITICAL_SCIENCE" 0.12 0.131
"ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE" 1.562 "POLITICAL_SCIENCE" 0.124 0.139
"REVIEW OF INTERNATIONAL POLITICAL ECONOMY" 1.552 "POLITICAL_SCIENCE" 0.127 0.171
"FOREIGN AFFAIRS" 1.535 "POLITICAL_SCIENCE" 0.131 0.123
"JOURNAL OF EUROPEAN PUBLIC POLICY" 1.51 "POLITICAL_SCIENCE" 0.135 0.167
"POLICY STUDIES JOURNAL" 1.502 "POLITICAL_SCIENCE" 0.139 0.135
"PARTY POLITICS" 1.499 "POLITICAL_SCIENCE" 0.143 0.214
"JOURNAL OF DEMOCRACY" 1.497 "POLITICAL_SCIENCE" 0.147 0.198
"ELECTORAL STUDIES" 1.432 "POLITICAL_SCIENCE" 0.151 0.262
"EUROPEAN UNION POLITICS" 1.41 "POLITICAL_SCIENCE" 0.154 0.155
"SECURITY STUDIES" 1.409 "POLITICAL_SCIENCE" 0.158 0.194
"INTERNATIONAL JOURNAL OF PRESS-POLITICS" 1.406 "POLITICAL_SCIENCE" 0.162 0.143
"COMPARATIVE POLITICS" 1.376 "POLITICAL_SCIENCE" 0.166 0.107
"REGULATION & GOVERNANCE" 1.33 "POLITICAL_SCIENCE" 0.17 0.147
"POLITICAL GEOGRAPHY" 1.321 "POLITICAL_SCIENCE" 0.174 0.127
"INTERNATIONAL POLITICAL SOCIOLOGY" 1.321 "POLITICAL_SCIENCE" 0.178 0.179
"LEGISLATIVE STUDIES QUARTERLY" 1.314 "POLITICAL_SCIENCE" 0.181 0.222
"AFRICAN AFFAIRS" 1.307 "POLITICAL_SCIENCE" 0.185 0.183
"EUROPEAN POLITICAL SCIENCE REVIEW" 1.289 "POLITICAL_SCIENCE" 0.189 0.218
"JOURNAL OF EUROPEAN SOCIAL POLICY" 1.273 "POLITICAL_SCIENCE" 0.193 0.175
"SECURITY DIALOGUE" 1.261 "POLITICAL_SCIENCE" 0.197 0.202
"POLITICAL RESEARCH QUARTERLY" 1.244 "POLITICAL_SCIENCE" 0.201 0.234
"POST-SOVIET AFFAIRS" 1.19 "POLITICAL_SCIENCE" 0.205 0.19
"GOVERNMENT AND OPPOSITION" 1.189 "POLITICAL_SCIENCE" 0.208 0.31
"STUDIES IN COMPARATIVE INTERNATIONAL DEVELOPMENT" 1.173 "POLITICAL_SCIENCE" 0.212 0.25
"POLITICS & GENDER" 1.171 "POLITICAL_SCIENCE" 0.216 0.321
"GLOBAL ENVIRONMENTAL POLITICS" 1.144 "POLITICAL_SCIENCE" 0.22 0.206
"POLITICAL STUDIES" 1.128 "POLITICAL_SCIENCE" 0.224 0.238
"CLIMATE POLICY" 1.097 "POLITICAL_SCIENCE" 0.228 0.242
"PUBLIC ADMINISTRATION" 1.095 "POLITICAL_SCIENCE" 0.232 0.27
"INTERNATIONAL THEORY" 1.089 "POLITICAL_SCIENCE" 0.236 0.159
"INTERNATIONAL STUDIES REVIEW" 1.087 "POLITICAL_SCIENCE" 0.239 0.254
"INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH" 1.082 "POLITICAL_SCIENCE" 0.243 0.187
"NEW POLITICAL ECONOMY" 1.073 "POLITICAL_SCIENCE" 0.247 0.29
"INTERNATIONAL PUBLIC MANAGEMENT JOURNAL" 1.06 "POLITICAL_SCIENCE" 0.251 0.298
"INTERNATIONAL INTERACTIONS" 1.055 "POLITICAL_SCIENCE" 0.255 0.21
"INTERNATIONAL AFFAIRS" 1.044 "POLITICAL_SCIENCE" 0.259 0.313
"SOUTH EUROPEAN SOCIETY AND POLITICS" 1.018 "POLITICAL_SCIENCE" 0.263 0.421
"CHINESE JOURNAL OF INTERNATIONAL POLITICS" 1.014 "POLITICAL_SCIENCE" 0.266 0.405
"PUBLIC MANAGEMENT REVIEW" 1.006 "POLITICAL_SCIENCE" 0.27 0.385
"NEW LEFT REVIEW" 1.006 "POLITICAL_SCIENCE" 0.274 0.258
"ENVIRONMENTAL POLITICS" 1.003 "POLITICAL_SCIENCE" 0.278 0.282
"REVIEW OF INTERNATIONAL STUDIES" 0.998 "POLITICAL_SCIENCE" 0.282 0.266
"JCMS-JOURNAL OF COMMON MARKET STUDIES" 0.989 "POLITICAL_SCIENCE" 0.286 0.274
"DEMOCRATIZATION" 0.982 "POLITICAL_SCIENCE" 0.29 0.286
"JOURNAL OF PUBLIC POLICY" 0.964 "POLITICAL_SCIENCE" 0.293 0.23
"TERRITORY POLITICS GOVERNANCE" 0.959 "POLITICAL_SCIENCE" 0.297 0.329
"INTERNATIONAL POLITICAL SCIENCE REVIEW" 0.906 "POLITICAL_SCIENCE" 0.301 0.317
"AMERICAN POLITICS RESEARCH" 0.904 "POLITICAL_SCIENCE" 0.305 0.294
"STATE POLITICS & POLICY QUARTERLY" 0.9 "POLITICAL_SCIENCE" 0.309 0.246
"POLICY SCIENCES" 0.897 "POLITICAL_SCIENCE" 0.313 0.163
"JOURNAL OF THEORETICAL POLITICS" 0.885 "POLITICAL_SCIENCE" 0.317 0.302
"JOURNAL OF SOCIAL POLICY" 0.884 "POLITICAL_SCIENCE" 0.32 0.345
"AMERICAN REVIEW OF PUBLIC ADMINISTRATION" 0.879 "POLITICAL_SCIENCE" 0.324 0.306
"ECONOMICS & POLITICS" 0.856 "POLITICAL_SCIENCE" 0.328 0.333
"JOURNAL OF POLITICAL PHILOSOPHY" 0.855 "POLITICAL_SCIENCE" 0.332 0.226
"GEOPOLITICS" 0.847 "POLITICAL_SCIENCE" 0.336 0.353
"EUROPEAN JOURNAL OF POLITICAL ECONOMY" 0.845 "POLITICAL_SCIENCE" 0.34 0.341
"POLICY AND POLITICS" 0.84 "POLITICAL_SCIENCE" 0.344 0.448
"COMPARATIVE EUROPEAN POLITICS" 0.828 "POLITICAL_SCIENCE" 0.347 0.278
"REVIEW OF PUBLIC PERSONNEL ADMINISTRATION" 0.812 "POLITICAL_SCIENCE" 0.351 0.401
"COMMON MARKET LAW REVIEW" 0.799 "POLITICAL_SCIENCE" 0.355 0.393
"COOPERATION AND CONFLICT" 0.795 "POLITICAL_SCIENCE" 0.359 0.337
"BRITISH JOURNAL OF POLITICS & INTERNATIONAL RELATIONS" 0.783 "POLITICAL_SCIENCE" 0.363 0.389
"PUBLIC CHOICE" 0.781 "POLITICAL_SCIENCE" 0.367 0.369
"PARLIAMENTARY AFFAIRS" 0.752 "POLITICAL_SCIENCE" 0.371 0.472
"STUDIES IN AMERICAN POLITICAL DEVELOPMENT" 0.746 "POLITICAL_SCIENCE" 0.375 0.556
"JOURNAL OF ACCOUNTING AND PUBLIC POLICY" 0.744 "POLITICAL_SCIENCE" 0.378 0.575
"ACTA POLITICA" 0.735 "POLITICAL_SCIENCE" 0.382 0.325
"SOCIAL SCIENCE QUARTERLY" 0.725 "POLITICAL_SCIENCE" 0.386 0.452
"SWISS POLITICAL SCIENCE REVIEW" 0.724 "POLITICAL_SCIENCE" 0.39 0.563
"MARINE POLICY" 0.718 "POLITICAL_SCIENCE" 0.394 0.456
"TERRORISM AND POLITICAL VIOLENCE" 0.712 "POLITICAL_SCIENCE" 0.398 0.381
"JOURNAL OF EUROPEAN INTEGRATION" 0.706 "POLITICAL_SCIENCE" 0.402 0.468
"ENVIRONMENT AND PLANNING C-POLITICS AND SPACE" 0.699 "POLITICAL_SCIENCE" 0.405 0.377
"INTERNATIONAL STUDIES PERSPECTIVES" 0.69 "POLITICAL_SCIENCE" 0.409 0.433
"GLOBAL GOVERNANCE" 0.664 "POLITICAL_SCIENCE" 0.413 0.488
"EUROPEAN JOURNAL OF INTERNATIONAL LAW" 0.658 "POLITICAL_SCIENCE" 0.417 0.492
"JOURNAL OF HUMAN RIGHTS" 0.649 "POLITICAL_SCIENCE" 0.421 0.571
"STUDIES IN CONFLICT & TERRORISM" 0.638 "POLITICAL_SCIENCE" 0.425 0.639
"MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES" 0.633 "POLITICAL_SCIENCE" 0.429 0.349
"FOREIGN POLICY ANALYSIS" 0.63 "POLITICAL_SCIENCE" 0.432 0.373
"SOCIAL MOVEMENT STUDIES" 0.629 "POLITICAL_SCIENCE" 0.436 0.357
"AMERICAN JOURNAL OF INTERNATIONAL LAW" 0.627 "POLITICAL_SCIENCE" 0.44 0.417
"REVIEW OF POLICY RESEARCH" 0.625 "POLITICAL_SCIENCE" 0.444 0.365
"INTERNATIONAL FEMINIST JOURNAL OF POLITICS" 0.618 "POLITICAL_SCIENCE" 0.448 0.643
"INTERNATIONAL ENVIRONMENTAL AGREEMENTS-POLITICS LAW AND ECONOMICS" 0.614 "POLITICAL_SCIENCE" 0.452 0.437
"REVIEW OF AFRICAN POLITICAL ECONOMY" 0.597 "POLITICAL_SCIENCE" 0.456 0.619
"POLITICS" 0.587 "POLITICAL_SCIENCE" 0.459 0.413
"LATIN AMERICAN POLITICS AND SOCIETY" 0.58 "POLITICAL_SCIENCE" 0.463 0.397
"PACIFIC REVIEW" 0.576 "POLITICAL_SCIENCE" 0.467 0.667
"REVIEW OF WORLD ECONOMICS" 0.576 "POLITICAL_SCIENCE" 0.471 0.361
"PUBLIUS-THE JOURNAL OF FEDERALISM" 0.575 "POLITICAL_SCIENCE" 0.475 0.504
"NATIONS AND NATIONALISM" 0.574 "POLITICAL_SCIENCE" 0.479 0.532
"BRITISH POLITICS" 0.574 "POLITICAL_SCIENCE" 0.483 0.671
"PROBLEMS OF POST-COMMUNISM" 0.565 "POLITICAL_SCIENCE" 0.486 0.484
"INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES" 0.56 "POLITICAL_SCIENCE" 0.49 0.425
"WASHINGTON QUARTERLY" 0.555 "POLITICAL_SCIENCE" 0.494 0.5
"INTERNATIONAL RELATIONS OF THE ASIA-PACIFIC" 0.553 "POLITICAL_SCIENCE" 0.498 0.687
"GLOBALIZATIONS" 0.548 "POLITICAL_SCIENCE" 0.502 0.544
"POLITICAL THEORY" 0.546 "POLITICAL_SCIENCE" 0.506 0.46
"ADMINISTRATION & SOCIETY" 0.542 "POLITICAL_SCIENCE" 0.51 0.516
"PS-POLITICAL SCIENCE & POLITICS" 0.54 "POLITICAL_SCIENCE" 0.514 0.444
"SCANDINAVIAN POLITICAL STUDIES" 0.534 "POLITICAL_SCIENCE" 0.517 0.512
"ETHICS & INTERNATIONAL AFFAIRS" 0.533 "POLITICAL_SCIENCE" 0.521 0.591
"COLUMBIA JOURNAL OF TRANSNATIONAL LAW" 0.522 "POLITICAL_SCIENCE" 0.525 0.464
"CITIZENSHIP STUDIES" 0.517 "POLITICAL_SCIENCE" 0.529 0.508
"SCIENCE AND PUBLIC POLICY" 0.516 "POLITICAL_SCIENCE" 0.533 0.524
"JOURNAL OF COLD WAR STUDIES" 0.511 "POLITICAL_SCIENCE" 0.537 0.607
"SOCIAL POLICY & ADMINISTRATION" 0.507 "POLITICAL_SCIENCE" 0.541 0.548
"JOURNAL OF INTERNATIONAL RELATIONS AND DEVELOPMENT" 0.506 "POLITICAL_SCIENCE" 0.544 0.409
"HUMAN RIGHTS QUARTERLY" 0.504 "POLITICAL_SCIENCE" 0.548 0.552
"JOURNAL OF WOMEN POLITICS & POLICY" 0.503 "POLITICAL_SCIENCE" 0.552 0.683
"JOURNAL OF STRATEGIC STUDIES" 0.493 "POLITICAL_SCIENCE" 0.556 0.476
"POLITICS PHILOSOPHY & ECONOMICS" 0.492 "POLITICAL_SCIENCE" 0.56 0.54
"INTERNATIONAL JOURNAL OF TRANSITIONAL JUSTICE" 0.486 "POLITICAL_SCIENCE" 0.564 0.496
"GLOBAL POLICY" 0.484 "POLITICAL_SCIENCE" 0.568 0.599
"LOCAL GOVERNMENT STUDIES" 0.472 "POLITICAL_SCIENCE" 0.571 0.623
"MEDITERRANEAN POLITICS" 0.466 "POLITICAL_SCIENCE" 0.575 0.583
"ARMED FORCES & SOCIETY" 0.465 "POLITICAL_SCIENCE" 0.579 0.726
"POLICY AND SOCIETY" 0.456 "POLITICAL_SCIENCE" 0.583 0.44
"POLITICAL STUDIES REVIEW" 0.456 "POLITICAL_SCIENCE" 0.587 0.56
"JOURNAL OF COMPARATIVE POLICY ANALYSIS" 0.45 "POLITICAL_SCIENCE" 0.591 0.429
"EUROPEAN POLITICAL SCIENCE" 0.442 "POLITICAL_SCIENCE" 0.595 0.734
"FORUM-A JOURNAL OF APPLIED RESEARCH IN CONTEMPORARY POLITICS" 0.435 "POLITICAL_SCIENCE" 0.598 0.754
"INTERNATIONAL RELATIONS" 0.433 "POLITICAL_SCIENCE" 0.602 0.48
"CONTEMPORARY ECONOMIC POLICY" 0.433 "POLITICAL_SCIENCE" 0.606 0.595
"INTERNATIONAL PEACEKEEPING" 0.419 "POLITICAL_SCIENCE" 0.61 0.698
"PUBLIC PERFORMANCE & MANAGEMENT REVIEW" 0.414 "POLITICAL_SCIENCE" 0.614 0.659
"EUROPE-ASIA STUDIES" 0.413 "POLITICAL_SCIENCE" 0.618 0.615
"WORLD ECONOMY" 0.412 "POLITICAL_SCIENCE" 0.622 0.528
"POLITICAL QUARTERLY" 0.407 "POLITICAL_SCIENCE" 0.625 0.738
"POLITICS AND RELIGION" 0.397 "POLITICAL_SCIENCE" 0.629 0.71
"COMMUNIST AND POST-COMMUNIST STUDIES" 0.396 "POLITICAL_SCIENCE" 0.633 0.647
"CHINESE JOURNAL OF INTERNATIONAL LAW" 0.396 "POLITICAL_SCIENCE" 0.637 0.778
"CONTEMPORARY POLITICS" 0.386 "POLITICAL_SCIENCE" 0.641 0.675
"POLITICAL SCIENCE QUARTERLY" 0.385 "POLITICAL_SCIENCE" 0.645 0.758
"NONPROFIT MANAGEMENT & LEADERSHIP" 0.383 "POLITICAL_SCIENCE" 0.649 0.75
"POLICY STUDIES" 0.382 "POLITICAL_SCIENCE" 0.653 0.627
"AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS" 0.365 "POLITICAL_SCIENCE" 0.656 0.77
"LATIN AMERICAN PERSPECTIVES" 0.357 "POLITICAL_SCIENCE" 0.66 0.714
"EAST EUROPEAN POLITICS AND SOCIETIES" 0.356 "POLITICAL_SCIENCE" 0.664 0.587
"SURVIVAL" 0.351 "POLITICAL_SCIENCE" 0.668 0.663
"JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES" 0.35 "POLITICAL_SCIENCE" 0.672 0.746
"PUBLIC PERSONNEL MANAGEMENT" 0.347 "POLITICAL_SCIENCE" 0.676 0.853
"BULLETIN OF THE ATOMIC SCIENTISTS" 0.334 "POLITICAL_SCIENCE" 0.68 0.651
"GERMAN POLITICS" 0.33 "POLITICAL_SCIENCE" 0.683 0.536
"INTERNATIONAL POLITICS" 0.329 "POLITICAL_SCIENCE" 0.687 0.73
"INTERNATIONAL JOURNAL OF CONFLICT AND VIOLENCE" 0.323 "POLITICAL_SCIENCE" 0.691 0.567
"WORLD TRADE REVIEW" 0.315 "POLITICAL_SCIENCE" 0.695 0.655
"CONTEMPORARY SOUTHEAST ASIA" 0.31 "POLITICAL_SCIENCE" 0.699 0.766
"POLITICA Y GOBIERNO" 0.307 "POLITICAL_SCIENCE" 0.703 0.813
"CAMBRIDGE REVIEW OF INTERNATIONAL AFFAIRS" 0.305 "POLITICAL_SCIENCE" 0.707 0.631
"POLITICAL SCIENCE" 0.302 "POLITICAL_SCIENCE" 0.71 0.742
"STANFORD JOURNAL OF INTERNATIONAL LAW" 0.3 "POLITICAL_SCIENCE" 0.714 0.679
"NATION" 0.294 "POLITICAL_SCIENCE" 0.718 0.774
"AUSTRALIAN JOURNAL OF POLITICAL SCIENCE" 0.292 "POLITICAL_SCIENCE" 0.722 0.722
"HISTORICAL MATERIALISM-RESEARCH IN CRITICAL MARXIST THEORY" 0.292 "POLITICAL_SCIENCE" 0.726 0.821
"DISSENT" 0.286 "POLITICAL_SCIENCE" 0.73 0.79
"POLITIX" 0.286 "POLITICAL_SCIENCE" 0.734 0.901
"PUBLIC ADMINISTRATION AND DEVELOPMENT" 0.285 "POLITICAL_SCIENCE" 0.737 0.611
"OCEAN DEVELOPMENT AND INTERNATIONAL LAW" 0.284 "POLITICAL_SCIENCE" 0.741 0.69
"CONTEMPORARY POLITICAL THEORY" 0.28 "POLITICAL_SCIENCE" 0.745 0.52
"CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES" 0.276 "POLITICAL_SCIENCE" 0.749 0.694
"IRISH POLITICAL STUDIES" 0.269 "POLITICAL_SCIENCE" 0.753 0.706
"NEW REPUBLIC" 0.263 "POLITICAL_SCIENCE" 0.757 0.992
"ALTERNATIVES" 0.255 "POLITICAL_SCIENCE" 0.761 0.579
"MONTHLY REVIEW-AN INDEPENDENT SOCIALIST MAGAZINE" 0.253 "POLITICAL_SCIENCE" 0.764 0.798
"AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION" 0.25 "POLITICAL_SCIENCE" 0.768 0.762
"CRITICAL REVIEW" 0.249 "POLITICAL_SCIENCE" 0.772 0.603
"AUSTRALIAN JOURNAL OF POLITICS AND HISTORY" 0.245 "POLITICAL_SCIENCE" 0.776 0.845
"PUBLIC MONEY & MANAGEMENT" 0.24 "POLITICAL_SCIENCE" 0.78 0.825
"SCOTTISH JOURNAL OF POLITICAL ECONOMY" 0.237 "POLITICAL_SCIENCE" 0.784 0.786
"JOURNAL OF WORLD TRADE" 0.221 "POLITICAL_SCIENCE" 0.788 0.794
"POLITIKON" 0.211 "POLITICAL_SCIENCE" 0.792 0.877
"MIDDLE EAST POLICY" 0.208 "POLITICAL_SCIENCE" 0.795 0.782
"HISTORIA Y POLITICA" 0.207 "POLITICAL_SCIENCE" 0.799 0.806
"INTERNATIONAL JOURNAL" 0.206 "POLITICAL_SCIENCE" 0.803 0.897
"HUMAN SERVICE ORGANIZATIONS MANAGEMENT LEADERSHIP & GOVERNANCE" 0.203 "POLITICAL_SCIENCE" 0.807 0.881
"JOURNAL OF POLICY HISTORY" 0.195 "POLITICAL_SCIENCE" 0.811 0.718
"ASIAN PERSPECTIVE" 0.192 "POLITICAL_SCIENCE" 0.815 0.865
"EUROPEAN HISTORY QUARTERLY" 0.188 "POLITICAL_SCIENCE" 0.819 0.841
"JAPANESE JOURNAL OF POLITICAL SCIENCE" 0.184 "POLITICAL_SCIENCE" 0.822 0.829
"JOURNAL OF HOMELAND SECURITY AND EMERGENCY MANAGEMENT" 0.18 "POLITICAL_SCIENCE" 0.826 0.857
