"Journal" "Ais" "Ford" "Quantile"
"PHYSICAL REVIEW FLUIDS" 0.846 "PHYS SCIS" 0.256
"NUCLEAR FUSION" 0.836 "PHYS SCIS" 0.258
"CHEMPHYSCHEM" 0.822 "PHYS SCIS" 0.26
"SUPERCONDUCTOR SCIENCE & TECHNOLOGY" 0.821 "PHYS SCIS" 0.262
"PROGRESS OF THEORETICAL AND EXPERIMENTAL PHYSICS" 0.819 "PHYS SCIS" 0.264
"ULTRASONICS SONOCHEMISTRY" 0.817 "PHYS SCIS" 0.266
"JOURNAL OF PHYSICS-CONDENSED MATTER" 0.805 "PHYS SCIS" 0.268
"PHYSICAL REVIEW E" 0.794 "PHYS SCIS" 0.27
"INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS" 0.793 "PHYS SCIS" 0.272
"PHYSICS-USPEKHI" 0.792 "PHYS SCIS" 0.274
"PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN" 0.792 "PHYS SCIS" 0.276
"NANOTECHNOLOGY" 0.791 "PHYS SCIS" 0.278
"JOURNAL OF SOUND AND VIBRATION" 0.79 "PHYS SCIS" 0.28
"EXPERIMENTAL ASTRONOMY" 0.788 "PHYS SCIS" 0.282
"MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING" 0.785 "PHYS SCIS" 0.284
"PLANETARY AND SPACE SCIENCE" 0.781 "PHYS SCIS" 0.286
"BIOMICROFLUIDICS" 0.775 "PHYS SCIS" 0.288
"JOURNAL OF PHYSICS A-MATHEMATICAL AND THEORETICAL" 0.771 "PHYS SCIS" 0.29
"PLASMA PHYSICS AND CONTROLLED FUSION" 0.767 "PHYS SCIS" 0.292
"EXPERIMENTAL THERMAL AND FLUID SCIENCE" 0.764 "PHYS SCIS" 0.294
"JOURNAL OF PHYSICAL CHEMISTRY A" 0.761 "PHYS SCIS" 0.296
"LEUKOS" 0.76 "PHYS SCIS" 0.298
"NUCLEAR DATA SHEETS" 0.756 "PHYS SCIS" 0.3
"JOURNAL OF LIGHTWAVE TECHNOLOGY" 0.755 "PHYS SCIS" 0.302
"PHYSICA STATUS SOLIDI-RAPID RESEARCH LETTERS" 0.755 "PHYS SCIS" 0.304
"BEILSTEIN JOURNAL OF NANOTECHNOLOGY" 0.745 "PHYS SCIS" 0.306
"SOLID STATE NUCLEAR MAGNETIC RESONANCE" 0.738 "PHYS SCIS" 0.308
"GRANULAR MATTER" 0.737 "PHYS SCIS" 0.31
"PHYSICAL REVIEW C" 0.737 "PHYS SCIS" 0.312
"HIGH POWER LASER SCIENCE AND ENGINEERING" 0.722 "PHYS SCIS" 0.313
"IEEE-ACM TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING" 0.714 "PHYS SCIS" 0.315
"APPLIED PHYSICS EXPRESS" 0.709 "PHYS SCIS" 0.317
"EUROPEAN JOURNAL OF MECHANICS B-FLUIDS" 0.704 "PHYS SCIS" 0.319
"JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS" 0.702 "PHYS SCIS" 0.321
"JOURNAL OF PHYSICS D-APPLIED PHYSICS" 0.696 "PHYS SCIS" 0.323
"ULTRASOUND IN MEDICINE AND BIOLOGY" 0.694 "PHYS SCIS" 0.325
"EPL" 0.693 "PHYS SCIS" 0.327
"METROLOGIA" 0.686 "PHYS SCIS" 0.329
"MICROFLUIDICS AND NANOFLUIDICS" 0.677 "PHYS SCIS" 0.331
"EUROPEAN PHYSICAL JOURNAL E" 0.663 "PHYS SCIS" 0.333
"CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY" 0.66 "PHYS SCIS" 0.335
"FRONTIERS OF PHYSICS" 0.655 "PHYS SCIS" 0.337
"IEEE MAGNETICS LETTERS" 0.655 "PHYS SCIS" 0.339
"ORGANIC ELECTRONICS" 0.652 "PHYS SCIS" 0.341
"INTERNATIONAL JOURNAL OF MODERN PHYSICS D" 0.651 "PHYS SCIS" 0.343
"JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS" 0.65 "PHYS SCIS" 0.345
"OPTICAL MATERIALS EXPRESS" 0.649 "PHYS SCIS" 0.347
"THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS" 0.646 "PHYS SCIS" 0.349
"IEEE TRANSACTIONS ON ELECTRON DEVICES" 0.639 "PHYS SCIS" 0.351
"ULTRASONICS" 0.63 "PHYS SCIS" 0.353
"NANOSCALE RESEARCH LETTERS" 0.629 "PHYS SCIS" 0.355
"APPLIED SURFACE SCIENCE" 0.627 "PHYS SCIS" 0.357
"EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS" 0.627 "PHYS SCIS" 0.359
"SEMICONDUCTOR SCIENCE AND TECHNOLOGY" 0.621 "PHYS SCIS" 0.361
"IEEE PHOTONICS JOURNAL" 0.62 "PHYS SCIS" 0.363
"JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER" 0.62 "PHYS SCIS" 0.365
"ADVANCES IN CHEMICAL PHYSICS" 0.612 "PHYS SCIS" 0.367
"ANNALES GEOPHYSICAE" 0.611 "PHYS SCIS" 0.369
"PHYSICAL REVIEW SPECIAL TOPICS-ACCELERATORS AND BEAMS" 0.61 "PHYS SCIS" 0.371
"IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL" 0.605 "PHYS SCIS" 0.373
"JOURNAL OF INFRARED MILLIMETER AND TERAHERTZ WAVES" 0.605 "PHYS SCIS" 0.375
"JOURNAL OF OPTICS" 0.604 "PHYS SCIS" 0.377
"IEEE TRANSACTIONS ON NANOTECHNOLOGY" 0.601 "PHYS SCIS" 0.379
"WAVE MOTION" 0.596 "PHYS SCIS" 0.381
"ACTA PHYSICA SLOVACA" 0.587 "PHYS SCIS" 0.383
"OPTICS AND LASERS IN ENGINEERING" 0.586 "PHYS SCIS" 0.385
"JOURNAL OF BIOMEDICAL OPTICS" 0.581 "PHYS SCIS" 0.387
"JOURNAL OF ASTRONOMICAL TELESCOPES INSTRUMENTS AND SYSTEMS" 0.579 "PHYS SCIS" 0.389
"GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS" 0.576 "PHYS SCIS" 0.391
"JOURNAL OF MOLECULAR LIQUIDS" 0.57 "PHYS SCIS" 0.393
"RESEARCH IN ASTRONOMY AND ASTROPHYSICS" 0.565 "PHYS SCIS" 0.395
"ENTROPY" 0.564 "PHYS SCIS" 0.397
"IEEE SENSORS JOURNAL" 0.564 "PHYS SCIS" 0.399
"JOURNAL OF APPLIED PHYSICS" 0.561 "PHYS SCIS" 0.401
"ADVANCES IN HIGH ENERGY PHYSICS" 0.56 "PHYS SCIS" 0.403
"INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY" 0.551 "PHYS SCIS" 0.405
"JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING" 0.55 "PHYS SCIS" 0.407
"RADIO SCIENCE" 0.55 "PHYS SCIS" 0.409
"ADVANCES IN ASTRONOMY" 0.547 "PHYS SCIS" 0.411
"SOLID STATE IONICS" 0.539 "PHYS SCIS" 0.413
"SPEECH COMMUNICATION" 0.536 "PHYS SCIS" 0.415
"PHILOSOPHICAL MAGAZINE" 0.535 "PHYS SCIS" 0.417
"PLASMA CHEMISTRY AND PLASMA PROCESSING" 0.534 "PHYS SCIS" 0.419
"HIGH ENERGY DENSITY PHYSICS" 0.532 "PHYS SCIS" 0.421
"INTERNATIONAL JOURNAL OF MASS SPECTROMETRY" 0.531 "PHYS SCIS" 0.423
"APPLIED PHYSICS B-LASERS AND OPTICS" 0.529 "PHYS SCIS" 0.425
"CHAOS SOLITONS & FRACTALS" 0.529 "PHYS SCIS" 0.427
"GENERAL RELATIVITY AND GRAVITATION" 0.528 "PHYS SCIS" 0.429
"IEEE PHOTONICS TECHNOLOGY LETTERS" 0.527 "PHYS SCIS" 0.431
"MOLECULAR PHYSICS" 0.527 "PHYS SCIS" 0.433
"JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS" 0.518 "PHYS SCIS" 0.435
"INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS" 0.517 "PHYS SCIS" 0.437
"PLASMA PROCESSES AND POLYMERS" 0.517 "PHYS SCIS" 0.438
"SURFACE & COATINGS TECHNOLOGY" 0.517 "PHYS SCIS" 0.44
"JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME" 0.516 "PHYS SCIS" 0.442
"SURFACE SCIENCE" 0.515 "PHYS SCIS" 0.444
"JOURNAL OF MOLECULAR SPECTROSCOPY" 0.514 "PHYS SCIS" 0.446
"IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY" 0.512 "PHYS SCIS" 0.448
"JOURNAL OF ULTRASOUND IN MEDICINE" 0.512 "PHYS SCIS" 0.45
"PHYSICS LETTERS A" 0.512 "PHYS SCIS" 0.452
"JOURNAL OF MICROELECTROMECHANICAL SYSTEMS" 0.506 "PHYS SCIS" 0.454
"JOURNAL OF VIBRATION AND CONTROL" 0.5 "PHYS SCIS" 0.456
"ULTRASONIC IMAGING" 0.498 "PHYS SCIS" 0.458
"EURASIP JOURNAL ON AUDIO SPEECH AND MUSIC PROCESSING" 0.494 "PHYS SCIS" 0.46
"REVIEW OF SCIENTIFIC INSTRUMENTS" 0.494 "PHYS SCIS" 0.462
"JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN" 0.492 "PHYS SCIS" 0.464
"QUANTUM INFORMATION PROCESSING" 0.488 "PHYS SCIS" 0.466
"JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A" 0.485 "PHYS SCIS" 0.468
"JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION" 0.483 "PHYS SCIS" 0.47
"NUCLEAR PHYSICS A" 0.479 "PHYS SCIS" 0.472
"JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA" 0.476 "PHYS SCIS" 0.474
"MATERIALS SCIENCE AND ENGINEERING B-ADVANCED FUNCTIONAL SOLID-STATE MATERIALS" 0.476 "PHYS SCIS" 0.476
"LASER PHYSICS LETTERS" 0.474 "PHYS SCIS" 0.478
"PROGRESS IN ELECTROMAGNETICS RESEARCH-PIER" 0.473 "PHYS SCIS" 0.48
"HIGH PRESSURE RESEARCH" 0.469 "PHYS SCIS" 0.482
"IEEE JOURNAL OF QUANTUM ELECTRONICS" 0.469 "PHYS SCIS" 0.484
"PHYSICS OF PLASMAS" 0.469 "PHYS SCIS" 0.486
"APPLIED ACOUSTICS" 0.468 "PHYS SCIS" 0.488
"JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS" 0.466 "PHYS SCIS" 0.49
"PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS" 0.465 "PHYS SCIS" 0.492
"CHEMICAL PHYSICS" 0.464 "PHYS SCIS" 0.494
"JOURNAL OF THE KOREAN ASTRONOMICAL SOCIETY" 0.463 "PHYS SCIS" 0.496
"ATOMIZATION AND SPRAYS" 0.461 "PHYS SCIS" 0.498
"INTERNATIONAL JOURNAL OF ASTROBIOLOGY" 0.459 "PHYS SCIS" 0.5
"CHEMICAL VAPOR DEPOSITION" 0.457 "PHYS SCIS" 0.502
"PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES" 0.455 "PHYS SCIS" 0.504
"INTERNATIONAL JOURNAL OF MODERN PHYSICS A" 0.451 "PHYS SCIS" 0.506
"ASTROPHYSICS AND SPACE SCIENCE" 0.45 "PHYS SCIS" 0.508
"QUANTITATIVE INFRARED THERMOGRAPHY JOURNAL" 0.45 "PHYS SCIS" 0.51
"EUROPEAN PHYSICAL JOURNAL B" 0.449 "PHYS SCIS" 0.512
"JOURNAL OF PLASMA PHYSICS" 0.447 "PHYS SCIS" 0.514
"SEMICONDUCTORS AND SEMIMETALS" 0.446 "PHYS SCIS" 0.516
"AIP ADVANCES" 0.441 "PHYS SCIS" 0.518
"ADVANCES IN SPACE RESEARCH" 0.439 "PHYS SCIS" 0.52
"ASTRONOMISCHE NACHRICHTEN" 0.439 "PHYS SCIS" 0.522
"JOURNAL OF MICROMECHANICS AND MICROENGINEERING" 0.431 "PHYS SCIS" 0.524
"PHOTONICS AND NANOSTRUCTURES-FUNDAMENTALS AND APPLICATIONS" 0.431 "PHYS SCIS" 0.526
"CHEMICAL PHYSICS LETTERS" 0.429 "PHYS SCIS" 0.528
"MOLECULAR SIMULATION" 0.426 "PHYS SCIS" 0.53
"JOURNAL OF LUMINESCENCE" 0.423 "PHYS SCIS" 0.532
"JOURNAL OF RESEARCH OF THE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY" 0.422 "PHYS SCIS" 0.534
"MATERIALS LETTERS" 0.42 "PHYS SCIS" 0.536
"PHYSICAL REVIEW ACCELERATORS AND BEAMS" 0.419 "PHYS SCIS" 0.538
"CURRENT APPLIED PHYSICS" 0.417 "PHYS SCIS" 0.54
"LIGHTING RESEARCH & TECHNOLOGY" 0.416 "PHYS SCIS" 0.542
"SHOCK AND VIBRATION" 0.416 "PHYS SCIS" 0.544
"OPTICS AND LASER TECHNOLOGY" 0.414 "PHYS SCIS" 0.546
"WAVES IN RANDOM AND COMPLEX MEDIA" 0.413 "PHYS SCIS" 0.548
"APPLIED OPTICS" 0.412 "PHYS SCIS" 0.55
"PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS" 0.412 "PHYS SCIS" 0.552
"JOURNAL OF LASER APPLICATIONS" 0.408 "PHYS SCIS" 0.554
"EUROPEAN PHYSICAL JOURNAL PLUS" 0.406 "PHYS SCIS" 0.556
"NANOTECHNOLOGY REVIEWS" 0.406 "PHYS SCIS" 0.558
"INTERNATIONAL JOURNAL OF MODERN PHYSICS E-NUCLEAR PHYSICS" 0.403 "PHYS SCIS" 0.56
"OPTICAL MATERIALS" 0.403 "PHYS SCIS" 0.562
"INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY" 0.402 "PHYS SCIS" 0.563
"JOURNAL OF PHOTONICS FOR ENERGY" 0.402 "PHYS SCIS" 0.565
"SOLID STATE COMMUNICATIONS" 0.395 "PHYS SCIS" 0.567
"NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT" 0.394 "PHYS SCIS" 0.569
"PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE" 0.392 "PHYS SCIS" 0.571
"CONTRIBUTIONS TO PLASMA PHYSICS" 0.387 "PHYS SCIS" 0.573
"PHYSICA SCRIPTA" 0.385 "PHYS SCIS" 0.575
"SYNTHETIC METALS" 0.382 "PHYS SCIS" 0.577
"MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING" 0.379 "PHYS SCIS" 0.579
"ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY" 0.377 "PHYS SCIS" 0.581
"FLUID DYNAMICS RESEARCH" 0.377 "PHYS SCIS" 0.583
"INTERNATIONAL JOURNAL OF PHOTOENERGY" 0.377 "PHYS SCIS" 0.585
"JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS" 0.371 "PHYS SCIS" 0.587
"SCIENCE CHINA-PHYSICS MECHANICS & ASTRONOMY" 0.369 "PHYS SCIS" 0.589
"NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS" 0.367 "PHYS SCIS" 0.591
"IEEE TRANSACTIONS ON MAGNETICS" 0.365 "PHYS SCIS" 0.593
"EARTH MOON AND PLANETS" 0.364 "PHYS SCIS" 0.595
"JETP LETTERS" 0.363 "PHYS SCIS" 0.597
"PHONETICA" 0.363 "PHYS SCIS" 0.599
"EUROPEAN PHYSICAL JOURNAL D" 0.361 "PHYS SCIS" 0.601
"NEW ASTRONOMY" 0.36 "PHYS SCIS" 0.603
"VACUUM" 0.36 "PHYS SCIS" 0.605
"SOLID-STATE ELECTRONICS" 0.359 "PHYS SCIS" 0.607
"JOURNAL OF CRYSTAL GROWTH" 0.358 "PHYS SCIS" 0.609
"AMERICAN JOURNAL OF PHYSICS" 0.356 "PHYS SCIS" 0.611
"OPTICAL FIBER TECHNOLOGY" 0.356 "PHYS SCIS" 0.613
"SOLID STATE SCIENCES" 0.356 "PHYS SCIS" 0.615
"THIN SOLID FILMS" 0.356 "PHYS SCIS" 0.617
"ADVANCES IN CONDENSED MATTER PHYSICS" 0.348 "PHYS SCIS" 0.619
"CONCEPTS IN MAGNETIC RESONANCE PART A" 0.344 "PHYS SCIS" 0.621
"ACTA ACUSTICA UNITED WITH ACUSTICA" 0.34 "PHYS SCIS" 0.623
"INFRARED PHYSICS & TECHNOLOGY" 0.34 "PHYS SCIS" 0.625
"OPTICS COMMUNICATIONS" 0.34 "PHYS SCIS" 0.627
"APPLIED SCIENCES-BASEL" 0.338 "PHYS SCIS" 0.629
"JOURNAL OF LOW TEMPERATURE PHYSICS" 0.337 "PHYS SCIS" 0.631
"JOURNAL OF THE EUROPEAN OPTICAL SOCIETY-RAPID PUBLICATIONS" 0.337 "PHYS SCIS" 0.633
"JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B" 0.335 "PHYS SCIS" 0.635
"SUPERLATTICES AND MICROSTRUCTURES" 0.333 "PHYS SCIS" 0.637
"INTERNATIONAL JOURNAL OF AEROACOUSTICS" 0.332 "PHYS SCIS" 0.639
"PHYSICA C-SUPERCONDUCTIVITY AND ITS APPLICATIONS" 0.331 "PHYS SCIS" 0.641
"MODERN PHYSICS LETTERS A" 0.328 "PHYS SCIS" 0.643
"APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING" 0.327 "PHYS SCIS" 0.645
"FOUNDATIONS OF PHYSICS" 0.326 "PHYS SCIS" 0.647
"DISPLAYS" 0.322 "PHYS SCIS" 0.649
"NANOMATERIALS AND NANOTECHNOLOGY" 0.32 "PHYS SCIS" 0.651
"EUROPEAN PHYSICAL JOURNAL H" 0.319 "PHYS SCIS" 0.653
"IONICS" 0.319 "PHYS SCIS" 0.655
"TOPICS IN APPLIED PHYSICS" 0.319 "PHYS SCIS" 0.657
"JOURNAL OF ZHEJIANG UNIVERSITY-SCIENCE A" 0.318 "PHYS SCIS" 0.659
"IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION" 0.316 "PHYS SCIS" 0.661
"CRYOGENICS" 0.314 "PHYS SCIS" 0.663
"THEORETICAL AND MATHEMATICAL PHYSICS" 0.313 "PHYS SCIS" 0.665
"MICROELECTRONICS RELIABILITY" 0.312 "PHYS SCIS" 0.667
"MICROELECTRONIC ENGINEERING" 0.311 "PHYS SCIS" 0.669
"PHILOSOPHICAL MAGAZINE LETTERS" 0.309 "PHYS SCIS" 0.671
"ASTRONOMY LETTERS-A JOURNAL OF ASTRONOMY AND SPACE ASTROPHYSICS" 0.307 "PHYS SCIS" 0.673
"RECENT PATENTS ON NANOTECHNOLOGY" 0.306 "PHYS SCIS" 0.675
"JOURNAL OF ELECTRONIC MATERIALS" 0.302 "PHYS SCIS" 0.677
"IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING" 0.301 "PHYS SCIS" 0.679
"IEEE TRANSACTIONS ON PLASMA SCIENCE" 0.297 "PHYS SCIS" 0.681
"JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS" 0.296 "PHYS SCIS" 0.683
"RADIATION PHYSICS AND CHEMISTRY" 0.291 "PHYS SCIS" 0.685
"JOURNAL OF COMPUTATIONAL ELECTRONICS" 0.29 "PHYS SCIS" 0.687
"LASER AND PARTICLE BEAMS" 0.284 "PHYS SCIS" 0.688
"OPTO-ELECTRONICS REVIEW" 0.284 "PHYS SCIS" 0.69
"JOURNAL OF NANOPHOTONICS" 0.282 "PHYS SCIS" 0.692
"PHYSICA B-CONDENSED MATTER" 0.28 "PHYS SCIS" 0.694
"RESULTS IN PHYSICS" 0.278 "PHYS SCIS" 0.696
"BRAZILIAN JOURNAL OF PHYSICS" 0.273 "PHYS SCIS" 0.698
"RADIOPHYSICS AND QUANTUM ELECTRONICS" 0.272 "PHYS SCIS" 0.7
"JOURNAL OF MODERN OPTICS" 0.268 "PHYS SCIS" 0.702
"APPLIED MAGNETIC RESONANCE" 0.267 "PHYS SCIS" 0.704
"JOURNAL OF COMPUTATIONAL ACOUSTICS" 0.264 "PHYS SCIS" 0.706
"SERBIAN ASTRONOMICAL JOURNAL" 0.263 "PHYS SCIS" 0.708
"ROMANIAN JOURNAL OF PHYSICS" 0.259 "PHYS SCIS" 0.71
"INTERNATIONAL JOURNAL OF QUANTUM INFORMATION" 0.257 "PHYS SCIS" 0.712
"ROMANIAN REPORTS IN PHYSICS" 0.255 "PHYS SCIS" 0.714
"JOURNAL OF CLINICAL ULTRASOUND" 0.254 "PHYS SCIS" 0.716
"ACOUSTICS AUSTRALIA" 0.253 "PHYS SCIS" 0.718
"PLASMA PHYSICS REPORTS" 0.252 "PHYS SCIS" 0.72
"IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY" 0.248 "PHYS SCIS" 0.722
"JOURNAL OF THE AUDIO ENGINEERING SOCIETY" 0.248 "PHYS SCIS" 0.724
"JAPANESE JOURNAL OF APPLIED PHYSICS" 0.243 "PHYS SCIS" 0.726
"JOURNAL OF X-RAY SCIENCE AND TECHNOLOGY" 0.242 "PHYS SCIS" 0.728
"MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS" 0.242 "PHYS SCIS" 0.73
"CONDENSED MATTER PHYSICS" 0.24 "PHYS SCIS" 0.732
"LOW TEMPERATURE PHYSICS" 0.239 "PHYS SCIS" 0.734
"CONTRIBUTIONS OF THE ASTRONOMICAL OBSERVATORY SKALNATE PLESO" 0.237 "PHYS SCIS" 0.736
"IET OPTOELECTRONICS" 0.237 "PHYS SCIS" 0.738
"ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES" 0.236 "PHYS SCIS" 0.74
"JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS" 0.23 "PHYS SCIS" 0.742
"OPTICAL SWITCHING AND NETWORKING" 0.23 "PHYS SCIS" 0.744
"JOURNAL OF MICRO-NANOLITHOGRAPHY MEMS AND MOEMS" 0.225 "PHYS SCIS" 0.746
"JOURNAL OF THE SOCIETY FOR INFORMATION DISPLAY" 0.225 "PHYS SCIS" 0.748
"INTERNATIONAL JOURNAL OF THERMOPHYSICS" 0.222 "PHYS SCIS" 0.75
"ACTA PHYSICA POLONICA B" 0.221 "PHYS SCIS" 0.752
"MAGNETOHYDRODYNAMICS" 0.22 "PHYS SCIS" 0.754
"PHOTONIC NETWORK COMMUNICATIONS" 0.22 "PHYS SCIS" 0.756
"STUDIES IN HISTORY AND PHILOSOPHY OF MODERN PHYSICS" 0.218 "PHYS SCIS" 0.758
"NUCLEAR SCIENCE AND TECHNIQUES" 0.217 "PHYS SCIS" 0.76
"OPTICAL ENGINEERING" 0.215 "PHYS SCIS" 0.762
"EUROPEAN JOURNAL OF MASS SPECTROMETRY" 0.213 "PHYS SCIS" 0.764
"ASTRONOMY REPORTS" 0.211 "PHYS SCIS" 0.766
"COMMUNICATIONS IN THEORETICAL PHYSICS" 0.21 "PHYS SCIS" 0.768
"JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL" 0.207 "PHYS SCIS" 0.77
"CANADIAN JOURNAL OF PHYSICS" 0.205 "PHYS SCIS" 0.772
"LASER PHYSICS" 0.204 "PHYS SCIS" 0.774
"LITHUANIAN JOURNAL OF PHYSICS" 0.203 "PHYS SCIS" 0.776
"JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS" 0.202 "PHYS SCIS" 0.778
"INTERNATIONAL JOURNAL OF MODERN PHYSICS B" 0.201 "PHYS SCIS" 0.78
"INTERNATIONAL JOURNAL OF OPTOMECHATRONICS" 0.2 "PHYS SCIS" 0.782
"ASTROPHYSICAL BULLETIN" 0.199 "PHYS SCIS" 0.784
"FEW-BODY SYSTEMS" 0.197 "PHYS SCIS" 0.786
"CHINESE OPTICS LETTERS" 0.196 "PHYS SCIS" 0.788
"CHINESE PHYSICS B" 0.196 "PHYS SCIS" 0.79
"JOURNAL OF ELECTRONIC IMAGING" 0.196 "PHYS SCIS" 0.792
"OPTICAL AND QUANTUM ELECTRONICS" 0.196 "PHYS SCIS" 0.794
"SOLAR SYSTEM RESEARCH" 0.194 "PHYS SCIS" 0.796
"JOURNAL OF EXPERIMENTAL NANOSCIENCE" 0.189 "PHYS SCIS" 0.798
"QUANTUM ELECTRONICS" 0.187 "PHYS SCIS" 0.8
"CHINESE PHYSICS LETTERS" 0.185 "PHYS SCIS" 0.802
"NANO" 0.184 "PHYS SCIS" 0.804
"JOURNAL OF ASTROPHYSICS AND ASTRONOMY" 0.183 "PHYS SCIS" 0.806
"CONCEPTS IN MAGNETIC RESONANCE PART B-MAGNETIC RESONANCE ENGINEERING" 0.178 "PHYS SCIS" 0.808
"PHASE TRANSITIONS" 0.178 "PHYS SCIS" 0.81
"EUROPEAN JOURNAL OF PHYSICS" 0.177 "PHYS SCIS" 0.812
"NOISE CONTROL ENGINEERING JOURNAL" 0.177 "PHYS SCIS" 0.813
"JOURNAL OF SUPERCONDUCTIVITY AND NOVEL MAGNETISM" 0.176 "PHYS SCIS" 0.815
"OPEN PHYSICS" 0.174 "PHYS SCIS" 0.817
"FLUCTUATION AND NOISE LETTERS" 0.173 "PHYS SCIS" 0.819
"PLASMA SCIENCE & TECHNOLOGY" 0.173 "PHYS SCIS" 0.821
"INDIAN JOURNAL OF PHYSICS" 0.172 "PHYS SCIS" 0.823
"JOURNAL OF LASER MICRO NANOENGINEERING" 0.172 "PHYS SCIS" 0.825
"ARCHIVES OF ACOUSTICS" 0.171 "PHYS SCIS" 0.827
"PHYSICS OF PARTICLES AND NUCLEI" 0.17 "PHYS SCIS" 0.829
"PHYSICS OF THE SOLID STATE" 0.169 "PHYS SCIS" 0.831
"SCIENCE OF ADVANCED MATERIALS" 0.169 "PHYS SCIS" 0.833
"JOURNAL OF INNOVATIVE OPTICAL HEALTH SCIENCES" 0.168 "PHYS SCIS" 0.835
"EUROPEAN PHYSICAL JOURNAL-APPLIED PHYSICS" 0.165 "PHYS SCIS" 0.837
"NANOSCIENCE AND NANOTECHNOLOGY LETTERS" 0.165 "PHYS SCIS" 0.839
"HIGH TEMPERATURE" 0.163 "PHYS SCIS" 0.841
"INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS" 0.162 "PHYS SCIS" 0.843
"PRAMANA-JOURNAL OF PHYSICS" 0.161 "PHYS SCIS" 0.845
"DOKLADY PHYSICS" 0.16 "PHYS SCIS" 0.847
"JOURNAL OF THE OPTICAL SOCIETY OF KOREA" 0.158 "PHYS SCIS" 0.849
"NUKLEONIKA" 0.158 "PHYS SCIS" 0.851
"JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY" 0.156 "PHYS SCIS" 0.853
"OPTIK" 0.151 "PHYS SCIS" 0.855
"ASTROPHYSICS" 0.15 "PHYS SCIS" 0.857
"JOURNAL OF NONLINEAR OPTICAL PHYSICS & MATERIALS" 0.15 "PHYS SCIS" 0.859
"MICROWAVE AND OPTICAL TECHNOLOGY LETTERS" 0.148 "PHYS SCIS" 0.861
"ACOUSTICAL PHYSICS" 0.146 "PHYS SCIS" 0.863
"BALTIC ASTRONOMY" 0.146 "PHYS SCIS" 0.865
"OPTICAL REVIEW" 0.146 "PHYS SCIS" 0.867
